nct_id,title,condition,summary,phase,status,search_text
NCT02942290,A Study Evaluating Venetoclax in Combination With Azacitidine in Participants With Treatment-Naïve Higher-Risk Myelodysplastic Syndromes (MDS),Myelodysplastic Syndromes (MDS),"This is a Phase 1b, open-label, non-randomized, multicenter, dose-finding study evaluating venetoclax in combination with azacitidine in participants with treatment-naïve higher-risk MDS comprising a dose-escalation portion and a safety expansion portion.",PHASE1,ACTIVE_NOT_RECRUITING,"A Study Evaluating Venetoclax in Combination With Azacitidine in Participants With Treatment-Naïve Higher-Risk Myelodysplastic Syndromes (MDS) Myelodysplastic Syndromes (MDS) This is a Phase 1b, open-label, non-randomized, multicenter, dose-finding study evaluating venetoclax in combination with azacitidine in participants with treatment-naïve higher-risk MDS comprising a dose-escalation portion and a safety expansion portion."
NCT06413797,Little Cigar and Cigarillo Warnings for Youth,Little Cigars and Cigarillos (LCC) Use,"This study explores the effect of the little cigars and cigarillos (LCC) warnings on youth who currently use, have ever used, or are susceptible to using LCCs. This study will inform the Food and Drug Administration (FDA) implementation of LCC warnings, which can reduce LCC use and lessen tobacco health disparities among youth.",NA,COMPLETED,"Little Cigar and Cigarillo Warnings for Youth Little Cigars and Cigarillos (LCC) Use This study explores the effect of the little cigars and cigarillos (LCC) warnings on youth who currently use, have ever used, or are susceptible to using LCCs. This study will inform the Food and Drug Administration (FDA) implementation of LCC warnings, which can reduce LCC use and lessen tobacco health disparities among youth."
NCT02479997,Clinical Application of Dual Sentinel Lymph Node Staining Method in Breast Cancer Patients,Breast Cancer,"This study aimed to compare detection rate between dual sentinel node staining method using mixture of indocyanine green (ICG) with radioisotope(RI), and RI only.

To identify the first lymph node(s) along the lymphatic drainage pathway from the primary tumor in the breast cancer using RI only has several disadvantages such as invisibility, interference. As ICG can be visualized with a fluorescence imaging system, we expects dual sentinel lymph node staining method had better outcomes.",PHASE2,COMPLETED,"Clinical Application of Dual Sentinel Lymph Node Staining Method in Breast Cancer Patients Breast Cancer This study aimed to compare detection rate between dual sentinel node staining method using mixture of indocyanine green (ICG) with radioisotope(RI), and RI only.

To identify the first lymph node(s) along the lymphatic drainage pathway from the primary tumor in the breast cancer using RI only has several disadvantages such as invisibility, interference. As ICG can be visualized with a fluorescence imaging system, we expects dual sentinel lymph node staining method had better outcomes."
NCT04112810,Tildrakizumab for Prevention of Acute Graft-Versus-Host Disease,Hematologic Malignancies,This is a phase 2 open-label trial designed to evaluate the efficacy of tildrakizumab in improving graft-versus-host disease (GVHD)-free relapse-free survival after myeloablative allogeneic hematopoietic cell transplantation (alloHCT) for hematologic malignancy.,PHASE2,COMPLETED,Tildrakizumab for Prevention of Acute Graft-Versus-Host Disease Hematologic Malignancies This is a phase 2 open-label trial designed to evaluate the efficacy of tildrakizumab in improving graft-versus-host disease (GVHD)-free relapse-free survival after myeloablative allogeneic hematopoietic cell transplantation (alloHCT) for hematologic malignancy.
NCT02176213,"Study of Pomalidomide, Cyclophosphamide, Dexamethasone in Relapsed/Refractory Multiple Myeloma","Multiple Myeloma in Relapse, Multiple Myeloma, Refractory","This study is being done to learn more about the drug, pomalidomide and to gather data on its safety and side effects when used in combination with commercially available cyclophosphamide and dexamethasone. This combination is considered experimental and has not been approved by the FDA.

Pomalidomide is a third generation immunomodulatory (IMiDs) agent, which is a more potent version of thalidomide and lenalidomide drugs that have been approved by the United States Food and Drug Administration \[FDA\] for the treatment of MM. In February 2013, pomalidomide was also approved by the FDA for patients with MM who have had more than 2 types of therapy.

Pomalidomide is taken orally as capsules, and cyclophosphamide and dexamethasone are also taken orally as tablets in this study. Cyclophosphamide and dexamethasone are commercially available and are often used in combination with other drugs to treat Multiple Myeloma. Preliminary data from both the laboratory and patient studies suggest that this combination of drugs is more effective than pomalidomide and dexamethasone alone. However, the regimen being used in this study, which consists of daily cyclophosphamide, also permits support of low blood counts with either injections or transfusions as needed.",PHASE2,COMPLETED,"Study of Pomalidomide, Cyclophosphamide, Dexamethasone in Relapsed/Refractory Multiple Myeloma Multiple Myeloma in Relapse, Multiple Myeloma, Refractory This study is being done to learn more about the drug, pomalidomide and to gather data on its safety and side effects when used in combination with commercially available cyclophosphamide and dexamethasone. This combination is considered experimental and has not been approved by the FDA.

Pomalidomide is a third generation immunomodulatory (IMiDs) agent, which is a more potent version of thalidomide and lenalidomide drugs that have been approved by the United States Food and Drug Administration \[FDA\] for the treatment of MM. In February 2013, pomalidomide was also approved by the FDA for patients with MM who have had more than 2 types of therapy.

Pomalidomide is taken orally as capsules, and cyclophosphamide and dexamethasone are also taken orally as tablets in this study. Cyclophosphamide and dexamethasone are commercially available and are often used in combination with other drugs to treat Multiple Myeloma. Preliminary data from both the laboratory and patient studies suggest that this combination of drugs is more effective than pomalidomide and dexamethasone alone. However, the regimen being used in this study, which consists of daily cyclophosphamide, also permits support of low blood counts with either injections or transfusions as needed."
NCT00607113,Avastin (Bevacizumab) and RAD001 (Everolimus) in Advanced Low or Intermediate Grade Neuroendocrine Carcinoma,Neuroendocrine Carcinoma,"Primary Objectives:

* To determine the effect of Avastin on tumor blood flow as determined by functional computed tomography (CT) in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the effect of RAD001 on tumor blood flow as determined by functional CT in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the effect of adding the second agent (Avastin or RAD001) to the first agent (RAD001 or Avastin) on tumor blood flow as determined by functional CT

Secondary Objectives:

* To determine the clinical activity (objective response rate and progression free survival duration) of Avastin and RAD001 in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the biochemical response rate of Avastin and RAD001 in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the safety and tolerability of Avastin and RAD001 in patients with low or intermediate grade neuroendocrine carcinoma.",PHASE2,COMPLETED,"Avastin (Bevacizumab) and RAD001 (Everolimus) in Advanced Low or Intermediate Grade Neuroendocrine Carcinoma Neuroendocrine Carcinoma Primary Objectives:

* To determine the effect of Avastin on tumor blood flow as determined by functional computed tomography (CT) in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the effect of RAD001 on tumor blood flow as determined by functional CT in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the effect of adding the second agent (Avastin or RAD001) to the first agent (RAD001 or Avastin) on tumor blood flow as determined by functional CT

Secondary Objectives:

* To determine the clinical activity (objective response rate and progression free survival duration) of Avastin and RAD001 in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the biochemical response rate of Avastin and RAD001 in patients with low or intermediate grade neuroendocrine carcinoma.
* To determine the safety and tolerability of Avastin and RAD001 in patients with low or intermediate grade neuroendocrine carcinoma."
NCT06864013,SCRT Combined With Chemotherapy and Iparomlimab and Tuvonralimab in MSS or pMMR Patients With Locally Advanced Rectal Cancer,Locally Advanced Rectal Cancer (LARC),"Colorectal cancer ranks as the third most prevalent malignancy worldwide and the second leading cause of cancer-related mortality. For patients with locally advanced rectal cancer (LARC) classified as T3-4/N+ without distant metastasis, achieving organ preservation and functional integrity while pursuing curative treatment remains a formidable clinical challenge. This study aims to evaluate the efficacy and organ preservation rates of a novel neoadjuvant regimen comprising short-course radiotherapy followed by four cycles of CAPEOX combined with Iparomlimab and Tuvonralimab in patients with microsatellite stable (MSS) or mismatch repair proficient (pMMR) LARC. Furthermore, the project will investigate potential predictive biomarkers for complete response (CR) within this immunotherapy-based total neoadjuvant therapy (iTNT) paradigm.",PHASE2,RECRUITING,"SCRT Combined With Chemotherapy and Iparomlimab and Tuvonralimab in MSS or pMMR Patients With Locally Advanced Rectal Cancer Locally Advanced Rectal Cancer (LARC) Colorectal cancer ranks as the third most prevalent malignancy worldwide and the second leading cause of cancer-related mortality. For patients with locally advanced rectal cancer (LARC) classified as T3-4/N+ without distant metastasis, achieving organ preservation and functional integrity while pursuing curative treatment remains a formidable clinical challenge. This study aims to evaluate the efficacy and organ preservation rates of a novel neoadjuvant regimen comprising short-course radiotherapy followed by four cycles of CAPEOX combined with Iparomlimab and Tuvonralimab in patients with microsatellite stable (MSS) or mismatch repair proficient (pMMR) LARC. Furthermore, the project will investigate potential predictive biomarkers for complete response (CR) within this immunotherapy-based total neoadjuvant therapy (iTNT) paradigm."
NCT01893320,Study of Vosaroxin and Decitabine in Older Patients With Acute Myeloid Leukemia and High-risk Myelodysplastic Syndrome,Leukemia,The goal of this clinical research study is to learn if the combination of vosaroxin and decitabine can help to control AML or MDS. The safety of these drugs will also be studied.,"PHASE1, PHASE2",COMPLETED,Study of Vosaroxin and Decitabine in Older Patients With Acute Myeloid Leukemia and High-risk Myelodysplastic Syndrome Leukemia The goal of this clinical research study is to learn if the combination of vosaroxin and decitabine can help to control AML or MDS. The safety of these drugs will also be studied.
NCT00442520,"Pharmacogenomic Study in Patients of Lung, Colorectal and Head/Neck Cancers Receiving Chemotherapy","Lung Cancer, Colorectal Cancer, Head and Neck Cancer","The purpose of this study is to look at several genes that might determine how the body processes the drugs used to treat lung, colorectal and head and neck cancers. The goal of this examination is to help investigators determine the proper dosage to give future cancer patients or to better predict which future patients will respond to particular drug therapies.",,COMPLETED,"Pharmacogenomic Study in Patients of Lung, Colorectal and Head/Neck Cancers Receiving Chemotherapy Lung Cancer, Colorectal Cancer, Head and Neck Cancer The purpose of this study is to look at several genes that might determine how the body processes the drugs used to treat lung, colorectal and head and neck cancers. The goal of this examination is to help investigators determine the proper dosage to give future cancer patients or to better predict which future patients will respond to particular drug therapies."
NCT06497582,Self-acupressure and Zhan Zhuang for Symptom Cluster Management,"Breast Cancer Female, Survivorship","The proposed study will be a 3-arm, parallel-group randomized controlled trial on the effects of self-acupressure and Zhan-Zhuang for alleviating pain, fatigue, and sleep disturbance in breast cancer survivors. Subjects will include 54 breast cancer survivors who have experienced a moderate level of pain, fatigue and sleep disturbance. All eligible subjects will be randomized into one of the three groups in a 1:1:1 ratio: Zhan Zhuang group, or self-acupressure group, or wait list control group. Subjects in the Zhan-Zhuang group will receive up to 8 weeks of the intervention consisting of a training course over two weeks followed by self-practice for 6 weeks. Those in the self-acupressure group will attend an acupressure training course for two weeks and then, will be asked to practice self-acupressure for 6 weeks. The wait list control group will be provided with delayed self-acupressure or Zhan Zhuang at the end of the study. Outcome assessment will be conducted at baseline, week 8 (post-intervention) and week 12 (4 week follow-up). Primary outcomes include pain, fatigue and sleep disturbance. Secondary outcomes include psychological distress and health-related quality of life. Qualitative data will be collected from selected participants who have received the intervention.",NA,COMPLETED,"Self-acupressure and Zhan Zhuang for Symptom Cluster Management Breast Cancer Female, Survivorship The proposed study will be a 3-arm, parallel-group randomized controlled trial on the effects of self-acupressure and Zhan-Zhuang for alleviating pain, fatigue, and sleep disturbance in breast cancer survivors. Subjects will include 54 breast cancer survivors who have experienced a moderate level of pain, fatigue and sleep disturbance. All eligible subjects will be randomized into one of the three groups in a 1:1:1 ratio: Zhan Zhuang group, or self-acupressure group, or wait list control group. Subjects in the Zhan-Zhuang group will receive up to 8 weeks of the intervention consisting of a training course over two weeks followed by self-practice for 6 weeks. Those in the self-acupressure group will attend an acupressure training course for two weeks and then, will be asked to practice self-acupressure for 6 weeks. The wait list control group will be provided with delayed self-acupressure or Zhan Zhuang at the end of the study. Outcome assessment will be conducted at baseline, week 8 (post-intervention) and week 12 (4 week follow-up). Primary outcomes include pain, fatigue and sleep disturbance. Secondary outcomes include psychological distress and health-related quality of life. Qualitative data will be collected from selected participants who have received the intervention."
